Timestamp	What's your age group?	What's your highest degree?	If applicable, what field of study was your highest degree in?	Did you finish the course?	How many years have you been programming?	How many hours, on average, did you spend per week on the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	How difficult did you find the course? [Part 1: weeks 1 & 2 with Prof. Odersky]	Do you feel the course was worth the time you invested in it?	Would you take a follow-up functional programming in Scala course, if it were offered?	What is your preferred editor, for use outside of this course?	What editor did you end up using for the majority of the course?	What experience do you have with other programming languages or paradigms? [Java]	What experience do you have with other programming languages or paradigms? [C / C++ / Objective-C]	What experience do you have with other programming languages or paradigms? [Python / Ruby / Perl / other scripting language]	What experience do you have with other programming languages or paradigms? [C#/.NET]	What experience do you have with other programming languages or paradigms? [Objective-C]	What experience do you have with other programming languages or paradigms? [JavaScript]	What experience do you have with other programming languages or paradigms? [Haskell / OCaml / ML / F#]	What interested you in the Principles of Reactive Programming course?	Where do you plan to apply what you've learned in this course?	How difficult did you find the homework assignments? [Part 1: weeks 1 & 2 with Prof. Odersky]	What experience do you have with other programming languages or paradigms? [Lisp / Scheme / Clojure]	What country do you live in?	What's your gender?	How difficult did you find the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How many hours, on average, did you spend per week on the course? [Part 2: weeks 3 & 4 with Prof. Meijer]	How many hours, on average, did you spend per week on the course? [Part 3: weeks 5-7 with Dr. Kuhn]	How difficult did you find the homework assignments? [Part 2: weeks 3 & 4 with Prof. Meijer]	How difficult did you find the homework assignments? [Part 3: weeks 5-7 with Dr. Kuhn]
1/17/2014 9:52:13	45-54	Doctorate Degree (or equivalent)	Statistics/Mathematics	No	20+ years	1-4 hours	3	2		Eclipse	Eclipse	I'm fluent	I've seen and understand some code	I'm fluent	No experience / not seen it at all		No experience / not seen it at all	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	No experience / not seen it at all	Denmark	Male	4	1	10+ hours	1-4 hours	5	1
1/17/2014 9:53:07	45-54	Master's Degree (or equivalent)	Electrical Engineering	Yes	20+ years	8-10 hours	4	4		IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	Personal projects	5	I've seen and understand some code	Netherlands	Male	5	4	8-10 hours	8-10 hours	5	5
1/17/2014 9:53:22	25-34	Bachelor's Degree (or equivalent)	Computer/Software Engineering	No	10-15 years	4-6 hours	4	2		IntelliJ	IntelliJ	I'm an expert	I'm fluent	I have some experience writing code	No experience / not seen it at all		I'm an expert	No experience / not seen it at all	Helps With Profession	Personal projects	4	I have some experience writing code	New Zealand	Male	5	1	8-10 hours	1-4 hours	5	1
1/17/2014 9:54:06	35-44	Bachelor's Degree (or equivalent)	Computer Science	Yes	10-15 years	8-10 hours	4	5		IntelliJ	Eclipse	I'm an expert	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I've seen and understand some code	No experience / not seen it at all	Helps With Profession	Team project at work	4	No experience / not seen it at all	Germany	Male	4	4	10+ hours	10+ hours	5	4
1/17/2014 9:54:22	25-34	Some College (or equivalent)	Computer Science	No	7-10 years	6-8 hours	4	5		IntelliJ	IntelliJ	I'm an expert	I've seen and understand some code	I've seen and understand some code	No experience / not seen it at all		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	5	No experience / not seen it at all	South Africa	Male	4	4	8-10 hours	6-8 hours	4	4
1/17/2014 9:55:42	25-34	Some College (or equivalent)	Computer/Software Engineering	Yes	10-15 years	10+ hours	3	4		emacs	emacs	I'm an expert	I've seen and understand some code	I have some experience writing code	I've seen and understand some code		I'm fluent	I've seen and understand some code	Helps With Profession	No application plans, attended for general interest	3	I'm fluent	France	Male	3	3	10+ hours	10+ hours	3	3
1/17/2014 9:55:58	25-34	Bachelor's Degree (or equivalent)	Computer Science	Yes	5-7 years	8-10 hours	3	5		Sublime Text	Eclipse	I'm fluent	I'm fluent	I have some experience writing code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Personal Interest/Curiosity	No application plans, attended for general interest	4	I've seen and understand some code	Bulgaria	Male	4	4	10+ hours	6-8 hours	4	3
1/17/2014 9:56:39	25-34	Master's Degree (or equivalent)	Computer Science	No	7-10 years	4-6 hours	2	3		IntelliJ	vim	I'm fluent	I've seen and understand some code	I have some experience writing code	I have some experience writing code		I'm an expert	No experience / not seen it at all	Personal Interest/Curiosity	Personal projects	3	I've seen and understand some code	Sweden	Male	3	4	6-8 hours	8-10 hours	3	3
1/17/2014 9:57:19	25-34	Master's Degree (or equivalent)	Computer Science	Yes	1-2 years	6-8 hours	3	5		Eclipse	Eclipse	I'm fluent	I have some experience writing code	I've seen and understand some code	I've seen and understand some code		I have some experience writing code	No experience / not seen it at all	Helps With Profession	Team project at work	3	No experience / not seen it at all	Sweden	Male	4	4	10+ hours	8-10 hours	4	4
1/17/2014 9:58:30	18-24	Bachelor's Degree (or equivalent)	Electrical Engineering	No	1-2 years	6-8 hours	3	2		vim	Eclipse	I've seen and understand some code	I have some experience writing code	I'm fluent	No experience / not seen it at all		I have some experience writing code	I've seen and understand some code	Personal Interest/Curiosity	No application plans, attended for general interest	4	I've seen and understand some code	India	Male	4	5	8-10 hours	1-4 hours	5	5
